Constituency Id,Constituency Name,Total,Dravida Munnetra Kazhagam,EVM Votes,PostalVotes,Indian National Congress,EVM Votes,PostalVotes,Communist Party of India,EVM Votes,PostalVotes,Communist Party of India  (Marxist),EVM Votes,PostalVotes,Viduthalai Chiruthaigal Katchi,EVM Votes,PostalVotes,Indian Union Muslim League,EVM Votes,PostalVotes,All India Anna Dravida Munnetra Kazhagam,EVM Votes,PostalVotes,Pattali Makkal Katchi,EVM Votes,PostalVotes,Bharatiya Janata Party,EVM Votes,PostalVotes,Naam Tamilar Katchi,EVM Votes,PostalVotes,Makkal Needhi Maiam,EVM Votes,PostalVotes,Indiya Jananayaka Katchi,EVM Votes,PostalVotes,Amma Makkal Munnettra Kazagam,EVM Votes,PostalVotes,Desiya Murpokku Dravida Kazhagam,EVM Votes,PostalVotes,All India Majlis-E-Ittehadul Muslimeen,EVM Votes,PostalVotes,SOCIAL DEMOCRATIC PARTY OF INDIA,EVM Votes,PostalVotes,None of the Above,EVM Votes,PostalVotes,Bahujan Samaj Party,EVM Votes,PostalVotes,Anaithu Makkal Arasiyal Katchi,EVM Votes,PostalVotes,Anna MGR Dravida Makkal Kalgam,EVM Votes,PostalVotes,Tamil Nadu Ilangyar Katchi,EVM Votes,PostalVotes,All India Jananayaka Makkal Kazhagam,EVM Votes,PostalVotes,My India Party,EVM Votes,PostalVotes,Tamilnadu Makkal Nalvazhvu Periyakkam,EVM Votes,PostalVotes,MGR Makkal Katchi,EVM Votes,PostalVotes,Nationalist Congress Party,EVM Votes,PostalVotes,Bahujan Dravida Party,EVM Votes,PostalVotes,Desiya Makkal Sakthi Katchi,EVM Votes,PostalVotes,Shiv Sena,EVM Votes,PostalVotes,Naadaalum Makkal Katchi,EVM Votes,PostalVotes,Samata Party,EVM Votes,PostalVotes,Makkal Nalvaazhvuk Katchi,EVM Votes,PostalVotes,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),EVM Votes,PostalVotes,Republican Party of India (Athawale),EVM Votes,PostalVotes,United States of India Party,EVM Votes,PostalVotes,New Generation People’s Party,EVM Votes,PostalVotes,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,EVM Votes,PostalVotes,Makkalatchi Katchi,EVM Votes,PostalVotes,National Democratic Party of South India,EVM Votes,PostalVotes,Thamizhaga Munnetra Congress,EVM Votes,PostalVotes,Nam India Naam Indiyar Katchi,EVM Votes,PostalVotes,Valamaana  Tamizhagam   Katchi,EVM Votes,PostalVotes,Republican Party of India  (Sivaraj),EVM Votes,PostalVotes,Lok Jan Shakti Party,EVM Votes,PostalVotes,Tipu Sultan Party,EVM Votes,PostalVotes,Tamizhaga Murpokku Makkal Katchi,EVM Votes,PostalVotes,Rashtriya Janata Dal,EVM Votes,PostalVotes,Mahathma Makkal Munnetra Kazhakam,EVM Votes,PostalVotes,Jebamani Janata,EVM Votes,PostalVotes,Anna MGR Dravida Munnetra Kazhagam,EVM Votes,PostalVotes,Bhartiya Manavadhikaar Federal Party,EVM Votes,PostalVotes,Puthiya Tamilagam,EVM Votes,PostalVotes,Dravida Murpokku Makkal Katchi,EVM Votes,PostalVotes,Communist Party of India  (Marxist-Leninist)  (Liberation),EVM Votes,PostalVotes,Desiya Sirupanmayinar Makkal Iyakkam,EVM Votes,PostalVotes,Makkal Munnetra Peravai,EVM Votes,PostalVotes,Kamarajar Deseeya Congress,EVM Votes,PostalVotes,All Pensioner’s Party,EVM Votes,PostalVotes,All India Youth Development Party,EVM Votes,PostalVotes,Akhil Bharat Hindu Mahasabha,EVM Votes,PostalVotes,Anaithu Makkal Puratchi Katchi,EVM Votes,PostalVotes,Rashtriya Ulama Council,EVM Votes,PostalVotes,All India Uzhavargal Uzhaippalargal Katchi,EVM Votes,PostalVotes,Makkal Nala Kazhagam,EVM Votes,PostalVotes,Samaniya Makkal Nala Katchi,EVM Votes,PostalVotes,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,EVM Votes,PostalVotes,National People's Party,EVM Votes,PostalVotes,Samajwadi Party,EVM Votes,PostalVotes,Dhesiya Makkal Kazhagam,EVM Votes,PostalVotes,Anna Dravidar Kazhagam,EVM Votes,PostalVotes,Ganasangam Party of India,EVM Votes,PostalVotes,Anaithindia Samudaya Munnetra Kazhagam,EVM Votes,PostalVotes,MAKKAL SAKTHI KATCHI,EVM Votes,PostalVotes,All  India  Pattali  Munnetra Katchi,EVM Votes,PostalVotes,Indhia Kudiarasu Katchi,EVM Votes,PostalVotes,Ambedkarite Party of India,EVM Votes,PostalVotes,Tamilaga Makkal Thannurimai Katchi,EVM Votes,PostalVotes,Ahimsa Socialist Party,EVM Votes,PostalVotes,Manitha Urimaigal Kalaagam,EVM Votes,PostalVotes,Namathu Kongu Munnetra Kalagam,EVM Votes,PostalVotes,"Makkal Thilagam Munnetra Kazhagam,",EVM Votes,PostalVotes,India Dravida Makkal Munnetra Katchi,EVM Votes,PostalVotes,Kongu  Desa  Marumalarchi  Makkal  Katchi,EVM Votes,PostalVotes,All India Trinamool Congress,EVM Votes,PostalVotes,Ezhuchi Tamilargal Munnetra Kazhagam,EVM Votes,PostalVotes,Hindustan Janta Party,EVM Votes,PostalVotes,"Makkal Sananayaga Kudiyarasu Katchi,",EVM Votes,PostalVotes,Anaithu Makkal Munnetra Kazhagam,EVM Votes,PostalVotes,Rashtriya Samaj Paksha,EVM Votes,PostalVotes,Vidial Valarchi Perani,EVM Votes,PostalVotes,Akila India Vallalar Peravai,EVM Votes,PostalVotes,Janata Dal  (Secular),EVM Votes,PostalVotes,Ilantamilar Munnani Kazhagam,EVM Votes,PostalVotes,All India Samathuva Makhal Katchi,EVM Votes,PostalVotes,People's Party of India(secular),EVM Votes,PostalVotes,Namadhu Makkal Katchi,EVM Votes,PostalVotes,Akhila India Jananayaka Makkal Katchi (Dr. Isaac),EVM Votes,PostalVotes,Tamil Telugu National Party,EVM Votes,PostalVotes,Ambedkar Political Party,EVM Votes,PostalVotes,All India MGR Makkal Munnetra Kazhagam,EVM Votes,PostalVotes,Naam Indiar Party,EVM Votes,PostalVotes,Desa Makkal Munnetrak Kazhgam,EVM Votes,PostalVotes,South India Forward Bloc,EVM Votes,PostalVotes,Aanaithinthiya Jananayaka Pathukappu Kazhagam,EVM Votes,PostalVotes,Universal Brotherhood Movement,EVM Votes,PostalVotes,Anaithu Ulaga Tamilargal Munnetra Kalagam,EVM Votes,PostalVotes,Ulaga Makkal Katchi,EVM Votes,PostalVotes,Tamilnadu Mahatma Gandhi Makkal Katchi,EVM Votes,PostalVotes,ALL  IND,EVM Votes,PostalVotes,,,,
33,Thiruporur,226729,,,,,,,,,,,,,S.S.Balaji,92987,967,,,,,,,Arumugam.K,91388,619,,,,Mohana Sundari.S,20354,74,Lavanya.N,8125,69,,,,Kothandapani.M,7629,33,,,,,,,,,,NOTA,1971,11,V.K.Pakkiri Ambadkar,1129,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,1358,9,,,,
34,Cheyyur,179120,,,,,,,,,,,,,Babu M,81533,1217,,,,Kanitha S,78144,564,,,,,,,Rajesh R,9568,85,Anbu Tamilsekaran P,1927,41,,,,,,,Siva A,3026,28,,,,,,,NOTA,1127,14,Ilayaraja S,960,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,864,18,,,,
35,Madurantakam,185842,Sathya. C.E,81739,1337,,,,,,,,,,,,,,,,Maragatham. K,85791,855,,,,,,,Sumitha. P,9249,44,Dinesh. K,1476,12,,,,,,,Moorthi . N,2130,7,,,,,,,NOTA,1369,2,Madhanraj. M,587,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kothandan. A,249,2,Subash. S,120,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,866,6,,,,
36,Uthiramerur,210529,SUNDAR K,92161,1266,,,,,,,,,,,,,,,,SOMASUNDARAM V,91127,678,,,,,,,KAMACTHI.S,11320,85,SUSAIAPPAR.A,2077,23,,,,RANJITHKUMAR.R.V,7181,30,,,,,,,,,,NOTA,946,6,SURESH D,600,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIVAKUMAR.A,134,2,,,,,,,,,,,,,,,,JAISUDHA.V,82,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,2781,25,,,,
37,Kancheepuram,229432,C.V.M.P. Ezhailzrasan,100914,1798,,,,,,,,,,,,,,,,,,,P. Magesh Kumar,90390,727,,,,S. SALDIN,13829,117,B. GOPINATH,11936,92,,,,N. MANOGARAN,2283,18,,,,,,,,,,NOTA,2521,18,K. Prabakaran,1185,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M. MEGANATHAN,241,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,3286,62,,,,
38,Arakkonam,171412,,,,,,,,,,,,,GOWTHAMA SANNAH.J,57345,885,,,,S.RAVI,85057,342,,,,,,,E.ABIRAMI,14561,70,S.BASKARAN,3522,21,,,,K.C.MANIVANNAN,4747,30,,,,,,,,,,NOTA,1648,8,P.SUDHAKAR,1816,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,1344,7,,,,
39,Sholinghur,224109,,,,A.M.MUNIRATHINAM,109138,1090,,,,,,,,,,,,,,,,A.M.KRISHNAN,82919,611,,,,Y.R.PAVENDHAN,9580,76,R.JAWAHAR,1649,15,,,,N.G.PARTHIBAN,12877,102,,,,,,,,,,NOTA,1234,5,M.GIRIDHARAN,611,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R.VINOTH,131,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G.VIJAYAKUMAR,222,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,3834,11,,,,
40,Katpadi,186246,DURAIMURUGAN,83243,1897,,,,,,,,,,,,,,,,V RAMU,83675,719,,,,,,,S THIRUKKUMARAN,10325,124,,,,M SUDHARSAN,991,12,A S RAJA,1059,7,,,,,,,,,,NOTA,1852,37,K RAJA,368,6,,,,R S SRIDHAR,75,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARUMUGAM K P,142,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,1684,25,,,,
41,Ranipet,207462,R.GANDHI,102273,1018,,,,,,,,,,,,,,,,S.M.SUGUMAR,86339,454,,,,,,,V.SHYLAJA,10152,82,M.ATHAM BASHA,2746,16,,,,G.VEERAMANI,627,10,,,,,,,,,,NOTA,1625,7,A.YUVARAJ,664,5,,,,,,,Dr.K.SATHIYARAJ,273,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,1166,3,,,,
42,Arcot,209791,J.L.Eswarappan,102667,1218,,,,,,,,,,,,,,,,,,,Elavazagan.K.L,83410,517,,,,R.Kathiravan,11977,111,A.R.Mohamed Raffi,2846,14,,,,N.Janarthanan,2159,31,,,,,,,,,,NOTA,2238,15,A.C.Kesavan,771,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Munivel.S,180,4,,,,,,,,,,,,,,,,H.Mohamed Ghouse,392,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,1219,6,,,,
43,Vellore,179899,Karthikeyan .P,82907,1392,,,,,,,,,,,,,,,,Appu S.R.K,74457,661,,,,,,,Poonkundran .N,8454,76,Vikram Chakravarthy .G,7179,64,,,,Dharmalingam .V.D,860,5,,,,,,,,,,NOTA,1417,24,,,,,,,,,,Naresh Kumar .R,921,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Senthilkumar .P,200,2,,,,,,,,,,,,,,,,,,,,,,Syed Jalaluddin .M,186,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manogaran S,67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,1009,10,,,,
44,Anaikattu,197805,A.P.Nandakumar,94084,1075,,,,,,,,,,,,,,,,D.Velazhagan,88031,768,,,,,,,A.Sumithra,7974,151,,,,K.Rajasekar,323,5,V.D.Sathish Kumar,1125,15,,,,,,,,,,NOTA,1768,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,2431,32,,,,
45,Kilvaithinankuppam,174124,K Seetharaman,72933,1064,,,,,,,,,,,,,,,,M.JAGAN MOORTHY,83989,590,,,,,,,J.Divya Rani,9911,116,,,,K VENKATASAMY,519,0,,,,DHANASEELAN,1406,26,,,,,,,NOTA,1773,25,PUSHPALATHA D,505,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K ELAVARASAN,543,4,,,,,,,,,,,,,K SATHU,132,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,562,11,,,,
46,Gudiyattam,211630,Amulu.V,99525,887,,,,,,,,,,,,,,,,Paritha.G,93066,445,,,,,,,Kalaiyenthiri.R,11776,58,,,,Rajan.C,477,5,Jayanthi Padmanaban.C,1793,17,,,,,,,,,,NOTA,1691,8,Raja.S,502,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vennila.R,65,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selvavinayagam.D,117,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,1184,7,,,,
47,Vaniyambadi,189997,,,,,,,,,,,,,,,,N.MOHAMMED NAYEEM,82317,797,G.SENDHIL KUMAR,87340,678,,,,,,,A.J.DEVENDHIRAN,11151,75,M.GNANA DOSS,1843,25,,,,,,,,,,T.S.VAKEEL AHMED,1895,2,,,,NOTA,1487,5,D.Ramu,715,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R.Sekar,176,3,B.JAGAN,351,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,1121,5,,,,
48,Ambur,177878,VILWANATHAN.A.C,89561,915,,,,,,,,,,,,,,,,NAZAR MOHAMED.K,69903,341,,,,,,,MAHARUNNISHA,10102,48,RAJA.S,1629,9,,,,,,,,,,,,,UMAR FAROOK.ASA,1787,6,NOTA,1410,7,WAZEER AHMED.J,678,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MANI.S.P,358,5,PARTHIBAN.V,101,0,,,,ASHOK KUMAR.C,316,3,KAREEM BASHA.A,81,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,610,4,,,,
49,Jolarpet,196358,DEVARAJI.K.,88237,1253,,,,,,,,,,,,,,,,VEERAMANI.K.C.,87365,1034,,,,,,,SIVA.A.,13199,129,,,,,,,THENNARASU SAAMRAJ,614,5,,,,,,,,,,NOTA,1328,9,SIVAKUMAR.V.C.,341,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KALASTHRI.S.,861,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,1951,17,,,,
50,Tirupattur,185930,A. NALLATHAMBI,95067,1455,,,,,,,,,,,,,,,,,,,T.K. RAJA,67905,377,,,,M. SUMATHI,12016,111,,,,,,,A. GNANASEKAR,2679,23,,,,,,,,,,NOTA,1625,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A. JEYAMMA,127,1,,,,S. KALASHTHRI,713,11,S. SATHIYAMOORTHY,516,3,I. ROSELIN JEEVA,263,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,3019,11,,,,
51,Uthangarai,188223,,,,S.Arumugam,70084,1204,,,,,,,,,,,,,T.M.TAMILSELVAM,98973,702,,,,,,,Elangovan,10352,72,K.Murugesan,1239,15,,,,,,,R.Bakyaraj,2278,13,,,,,,,NOTA,1354,5,NAGARAJ,718,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S.Perumal,205,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,997,7,,,,
52,Bargur,197784,MATHIAZHAGAN D,95852,1404,,,,,,,,,,,,,,,,KRISHNAN A,84177,465,,,,,,,KARUNAKARAN K,10019,94,,,,ARUN GOWTHAM R,337,8,GANESA KUMAR S,1058,6,,,,,,,,,,NOTA,1496,11,MURALI M,442,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AANDI A,120,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VASANTHARAJ P,181,3,NIRMALA A,701,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,1393,6,,,,
53,Krishnagiri,211648,SENGUTTUVAN.T,93507,1749,,,,,,,,,,,,,,,,Ashokkumar.K,95300,750,,,,,,,NIRANDARI.V,11009,128,RAVISHANKAR.R.K,3423,32,,,,,,,,,,AMEENULLA,851,7,,,,NOTA,1827,10,TAMILSELVAN.S,485,3,,,,,,,,,,,,,,,,,,,,,,CHANDRAMOHAN.K.M,1072,16,,,,RUTHRAMANI.T,84,5,,,,,,,,,,,,,,,,,,,,,,,,,VIJAYAKUMAR.R,133,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SASIKUMAR.K.S,128,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,1116,8,,,,
54,Veppanahalli,205141,P.Murugan,90593,457,,,,,,,,,,,,,,,,K.P.Munusamy,93855,249,,,,,,,M.Sakthivel,8287,23,P.Jayapal,667,5,,,,,,,S.M.Murugesan,3592,9,,,,,,,NOTA,1661,1,,,,,,,,,,S.Thangapandiyan,416,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M.Mariyappan,225,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valli,124,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,4944,22,,,,
55,Hosur,248098,PRAKAASH Y,117199,1032,,,,,,,,,,,,,,,,JYOTHI S,105475,389,,,,,,,GEETHA LAKSHMI S,11391,31,MASOOD S,6536,27,,,,MAREGOWDU M,806,0,,,,,,,,,,NOTA,1968,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUNDAR L,127,0,,,,,,,,,,,,,,,,,,,SELVAM G,145,0,EZHILAN S,460,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAYASEELAN G,64,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,2431,6,,,,
