235,All India Anna Dravida Munnetra Kazhagam,Votes,Dravida Munnetra Kazhagam,Votes,Indian National Congress,Votes,Bharatiya Janata Party,Votes,Desiya Murpokku Dravida Kazhagam,Votes,Bahujan Samaj Party,Votes,Naam Tamilar Katchi,Votes,Pattali Makkal Katchi,Votes,Indiya Jananayaka Katchi,Votes,Kongunadu Makkal Desia Katchi,Votes,Communist Party of India  (Marxist-Leninist)  (Liberation),Votes,Rashtriya Samaj Paksha,Votes,None of the Above,Votes,Youth And Students Party,Votes,Gokula Makkal Katchi,Votes,Viduthalai Chiruthaigal Katchi,Votes,Vijaya Bharatha Makkal (People) Party,Votes,Lok Jan Shakti Party,Votes,Vidiyalai Thedum Indhiyargal Party,Votes,Marumalarchi Dravida Munnetra Kazhagam,Votes,Shivsena,Votes,Samata Party,Votes,Communist Party of India  (Marxist),Votes,Nationalist Congress Party,,Valamaana Tamizhagam Katchi,,People's Party of India(secular),,Communist Party of India,Votes,The Future India Party,Votes,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Votes,Republican Party of India (A),Votes,Anbu Udhayam Katchi,Votes,Jebamani Janata,Votes,Makkalatchi Katchi,Votes,All India Women United Party,Votes,SOCIAL DEMOCRATIC PARTY OF INDIA,Votes,Jan Shakti Dal,Votes,Tamil Maanila Congress  (Moopanar),Votes,Gandhiya Makkal Iyakkam,Votes,Desiya Makkal Sakthi Katchi,Votes,Eluchi Desam Party,Votes,Christian Democratic Front,Votes,Tamilaga Sthabana Congress,Votes,Gandhiyan Peoples Party,Votes,Makkal Manadu Katchi,Votes,Thozhilalar Party,Votes,Akhila India Jananayaka Makkal Katchi (Dr. Isaac),Votes,All India Pattali Munnetra Katchi,Votes,Samajwadi Party,Votes,Bharat Pensioner's Front,Votes,Ulzaipali Makkal Katchy,Votes,Namadhu Makkal Katchi,Votes,Ganasangam Party of India,Votes,All Peoples Party,Votes,Indian Union Muslim League,Votes,All India Majlis-E-Ittehadul Muslimeen,Votes,Welfare Party Of India,Votes,Manithaneya Makkal Katchi,Votes,Sunder Samaj Party,Votes,United Communist Party of India,Votes,Puratchikara Thozilalar Katchi,Votes,Forward Democratic Labour Party,Votes,Republican Sena,Votes,Tamilar Makkal Katchi,Votes,Janata Dal  (Secular),Votes,Valimai Valartchi Indians Party,Votes,Republican Party of India,Votes,Sainik Samaj Party,Votes,Janata Dal  (United),Votes,Samuga Makkal Katchi,Votes,India Dravida Makkal Munnetra Katchi,Votes,Tamilaga Makkal Munnetra Kazhagam,Votes,India Makkal Munnetra Katchi,Votes,All India Forward Bloc,Votes,Indian Christian Front,Votes,Tamizhaga Vaazhvurimai Katchi,Votes,Puthiya Tamilagam,Votes,All India Forward Bloc  (Subhasist),Votes,Ezhuchi Tamilargal Munnetra Kazhagam,Votes,Anaithu Makkal Munnetra Kazhagam,Votes,"Makkal Sananayaga Kudiyarasu Katchi,",Votes,Rashtriya Janata Dal,Votes,Rashtriya Janta Party,Votes,Samajwadi Samaj Party,Votes,Socialistic Democratic Party,Votes,Makkal Kootamaipu Katchi,Votes,Jammu & Kashmir National Panthers Party,Votes,Desa Makkal Munnetrak Kazhgam,Votes,Democratic Party of India,Votes,Akhil Bharat Hindu Mahasabha,Votes,Democratic Corruption Liberation Front,Votes,Communist Party of India (Marxist-Leninist) Red Star,Votes,Ind Vote,Ind Count,First,Second,Third,Third-vote,Fourth,Fourth-vote,Fifth,Sixth,Margin,Margin ratio,Vote split,ADMK+,DMK+,DMDK+,BJP+,PMK,NTK,Margin - others,Total
Vaniyambadi,NILOFER,69588,,,,,G.VENKATESAN,1935,,,J. WAZEER AHMED,848,KALILLUR RAHMAN,623,KIRUBAKARAN.R.,9283,,,,,,,,,None of the Above,1774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GNANASEKARAN.C,21090,,,,,,,,,,,,,,,,,,,,,K.CHAKKARAVARTHI,401,,,,,,,,,,,SYED FAROOQ,55062,VAKEEL AHMED . T. S,10117,MOHAMMED ISMAIL,1104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,813,All India Anna Dravida Munnetra Kazhagam,Indian Union Muslim League,Tamil Maanila Congress  (Moopanar),21090,All India Majlis-E-Ittehadul Muslimeen,10117,Pattali Makkal Katchi,Bharatiya Janata Party,14526,8.41%,Third,40.31%,31.89%,12.22%,1.12%,5.38%,0.36%,-19.38%,172638
Ambur,BALASUBRAMANI,79182,,,,,VENKATESAN,5760,VASU,7043,SUNDAR.N,967,KALAI KAMARAJ,574,AMEEN BASHA,4643,,,,,,,SYAMALA,193,None of the Above,1632,,,,,,,GOPINATH,375,,,,,,,MURALIMOHAN,385,,,,,,,,,DHARUMAN,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAZEER AHMED,51176,MADAR KHALEELLUR RAHMAN,7640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1129,All India Anna Dravida Munnetra Kazhagam,Manithaneya Makkal Katchi,Sunder Samaj Party,7640,Desiya Murpokku Dravida Kazhagam,7043,Bharatiya Janata Party,Pattali Makkal Katchi,28006,17.39%,unknown,49.16%,31.77%,4.37%,3.58%,2.88%,0.36%,-1.68%,161075
Jolarpet,VEERAMANI.K.C.,82525,KAVITHA.C,71534,,,OVEYAM RANJAN.N,1021,FAYAZ BASHA.A,3509,LATHA.M,700,THENMOZHI.A,868,PONNUSAMY.G,17516,,,,,,,,,None of the Above,1483,,,,,,,THIRUMALAI.A,1224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,704,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Pattali Makkal Katchi,17516,Desiya Murpokku Dravida Kazhagam,3509,Vijaya Bharatha Makkal (People) Party,Bharatiya Janata Party,10991,6.07%,Third,45.57%,39.50%,1.94%,0.56%,9.67%,0.48%,-8.85%,181084
Tirupattur,KUMAR.T.T,73144,NALLATHAMBI. A,80791,,,GOVINDARAJAN. V,1831,HARIKRISHNAN.K,3968,NEELAVENI. P,574,VIJAYAN.E,691,RAJA.T.K,12227,,,VANKATESAN. M,281,,,,,None of the Above,1193,,,,,,,SAKTHI.V,159,,,,,,,,,,,,,,,,,SAMUELBAKYARAJ.A,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SANKAR. S,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2669,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Pattali Makkal Katchi,12227,Desiya Murpokku Dravida Kazhagam,3968,Bharatiya Janata Party,Independent,7647,4.30%,Third,41.13%,45.43%,2.23%,1.03%,6.88%,0.39%,-9.14%,177843
Uthangarai,N.MANORANJITHAM,69980,S.MALATHY,67367,,,S A PANDU,1591,,,,,VENKATESAN T,728,T.N.ANGUTHI,23500,,,V. THEERTHAGIRI,1266,,,,,None of the Above,1717,,,,,C.KANIYAMUDHAN,12669,,,,,,,,,,,,,,,C.HAMSA,481,,,,,,,,,,,THEERTHAGIRI A,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1125,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Pattali Makkal Katchi,23500,Viduthalai Chiruthaigal Katchi,12669,Bharatiya Janata Party,Kongunadu Makkal Desia Katchi,2613,1.45%,Third,38.75%,37.30%,7.01%,0.88%,13.01%,0.40%,-22.51%,180616
Bargur,V.RAJENDRAN,80650,GOVINDDARASAN.E.C,79668,,,R.MANIVANNAN,1273,,,,,P.ESWARAN,685,A.KUMAR,18407,,,K.THIRUVENKADAM,118,,,,,None of the Above,1382,unknown,113,,,,,,,,,,,,,,,,,,,N.ANANTHI,876,,,,,,,,,,,,,,,,,,,,,,,,,R.RAJENDRAN,2948,,,,,,,,,,,,,,,,,,,,,,,,,G.K.MUNIRAJ,128,,,,,,,,,,,,,,,,,,,C.S.SARDHAR,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1665,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Pattali Makkal Katchi,18407,Tamil Maanila Congress  (Moopanar),2948,Bharatiya Janata Party,Nationalist Congress Party,982,0.52%,Third,42.89%,42.36%,1.57%,0.68%,9.79%,0.36%,-14.23%,188056
Krishnagiri,GOVINDARAJ,82746,SENGUTTUVAN.T,87637,,,,,,,,,PONN.PARTHIBAN,986,KUMAR.S,15736,ARUNKOWTHAM,886,VAJRAVEL.G,167,,,,,None of the Above,1855,,,,,,,,,,,,,,,,,,,,,CHANDRAMOHAN.K.M,1151,,,,,,,,,,,,,,,,,,,,,,,,,JAYAPRAKASH.R,4199,,,,,,,,,,,,,,,,,,,,,,,,,SANKAR.K,158,,,,,,,,,MUBARAK.B,172,,,,,,,VENKATESH.K.C,194,SIGAMANI.K.N,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4102,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Pattali Makkal Katchi,15736,Tamil Maanila Congress  (Moopanar),4199,Independent,Nationalist Congress Party,4891,2.44%,Third,41.35%,43.80%,2.10%,0.44%,7.86%,0.49%,-12.40%,200092
Veppanahalli,MADHU A.V.M @ HEMNATH M,83724,MURUGAN P,88952,,,PREMANATHAN V S,1966,NAGARAJ N,4656,,,ILANTHAMIZAN,588,TAMIL SELVI M,5476,,,KRISHNAPPA @ KRISHNAN,291,,,,,None of the Above,1482,,,,,,,,,,,,,,,,,,,,,SUJATHA K,653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SANKAR K,257,,,ABBAS ALI S B,1373,SURYAPRAKASH  C.L.,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3600,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Pattali Makkal Katchi,5476,Desiya Murpokku Dravida Kazhagam,4656,Bharatiya Janata Party,Forward Democratic Labour Party,5228,2.70%,Third,43.31%,46.01%,2.41%,1.02%,2.83%,0.30%,-7.98%,193325
Hosur,BALAKRISHNA REDDY P,89510,,,GOPINATH K,66546,BALAKRISHNAN  G,28850,CHANDRAN V,7780,CHAN BASHA M,465,ALEX ESTHER,3021,MUNIRAJ P,10309,,,VELUCHAMY  R,424,,,,,None of the Above,3445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHANAWASKHAN N,1134,,,,,SEKAR P,293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SONAPPA SM,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3100,All India Anna Dravida Munnetra Kazhagam,Indian National Congress,Bharatiya Janata Party,28850,Pattali Makkal Katchi,10309,Desiya Murpokku Dravida Kazhagam,Naam Tamilar Katchi,22964,10.67%,Third,41.59%,30.92%,3.61%,13.40%,4.79%,1.40%,-16.82%,215231
Thalli,NAGESH C.,31415,PRAKAASH Y.,74429,,,RAMACHANDRAN B.,2908,,,,,TAMILSELVAN S.,433,ARUNRAJAN D.,5253,,,,,,,,,None of the Above,2450,,,,,,,,,,,,,,,,,,,,,ROSELIN R.,958,,,,,RAMACHANDRAN T.,68184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PANDU,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2616,Dravida Munnetra Kazhagam,Communist Party of India,All India Anna Dravida Munnetra Kazhagam,31415,Pattali Makkal Katchi,5253,Bharatiya Janata Party,Independent,6245,3.30%,Third,16.59%,39.31%,36.01%,1.54%,2.77%,0.23%,-40.80%,189350
Palacode,ANBALAGAN. K.P.,76143,MURUGAN. P.K.,70160,,,,,KAVERIVARMAN. K.G.,4915,PERUMAL. P.,337,VENKATESAN. S.,503,MANNAN. K.,31612,NANJAPPAN. P.,463,SIVAKUMAR. T.,257,,,,,None of the Above,1880,unknown,536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIVAKUMAR. S.,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1564,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Pattali Makkal Katchi,31612,Desiya Murpokku Dravida Kazhagam,4915,Youth And Students Party,Naam Tamilar Katchi,5983,3.17%,Third,40.34%,37.17%,2.60%,0.25%,16.75%,0.27%,-19.33%,188767
Pennagaram,MUNUSAMY K.P,51687,INBASEKARAN. P.N.P.,76848,,,,,,,MALLIGA. M,473,SIVAKUMAR. G,688,ANBUMANI RAMADOSS,58402,,,,,,,,,None of the Above,2081,,,,,,,,,,,,,,,,,,,,,,,,,,,NANJAPPAN. N.,5624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAIKUMAR. K,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3639,Dravida Munnetra Kazhagam,Pattali Makkal Katchi,All India Anna Dravida Munnetra Kazhagam,51687,Communist Party of India,5624,Independent,Naam Tamilar Katchi,18446,9.24%,Third,25.89%,38.49%,2.82%,0.00%,29.25%,0.34%,-26.38%,199635
Dharmapuri,ELANGOVAN. P.D.,61380,SUBRAMANI. P.,71056,,,ARUMUGAM. M.,1606,ELANGOVAN. V. DR.,9348,MOHAN S,495,RUKMANIDEVI. R.,1213,SENTHIL. R. DR.,56727,,,MADHAIYAN. K.,570,,,,,None of the Above,2251,unknown,525,,,,,,,,,,,,,,,,,,,RADHA.P.,297,,,,,,,,,,,,,,,,,,,,,,,,,,,RAGUPATHI. N.,473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIVAN. K.,258,,,,,,,GOVINDARAJU. S.,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1138,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Pattali Makkal Katchi,56727,Desiya Murpokku Dravida Kazhagam,9348,Bharatiya Janata Party,Naam Tamilar Katchi,9676,4.66%,Third,29.58%,34.25%,4.51%,0.77%,27.34%,0.58%,-31.50%,207476
Pappireddippatti,PALANIYAPPAN. P,74234,PRABHU RAJASEKAR. M,56109,,,,,BASKAR . A,9441,GOPI. K,827,MOOVENDAN. M,588,SATHIYAMOORTHY. A,61521,SUNDARAMOORTHY. M,270,ASHOKAN. G,1760,,,,,None of the Above,1467,unknown,293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHANAPAL. R,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2080,All India Anna Dravida Munnetra Kazhagam,Pattali Makkal Katchi,Dravida Munnetra Kazhagam,56109,Desiya Murpokku Dravida Kazhagam,9441,Kongunadu Makkal Desia Katchi,Bahujan Samaj Party,12713,6.09%,Third,35.56%,26.88%,4.52%,0.13%,29.47%,0.28%,-31.47%,208754
Harur,R.MURUGAN,64568,S.RAJENDRAN,53147,,,P.VEDIYAPPAN,1948,,,A.KARTHIK,762,K.RAMESH,627,S.MURALI,27747,,,K.SURULIRAJAN,3500,,,,,None of the Above,2092,,,,,K.GOVINDHASAMY,33632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2111,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Viduthalai Chiruthaigal Katchi,33632,Pattali Makkal Katchi,27747,Kongunadu Makkal Desia Katchi,Bharatiya Janata Party,11421,6.01%,Third,33.96%,27.95%,17.69%,1.02%,14.59%,0.33%,-32.08%,190134
Chengam,DINAKARAN. M,83248,GIRI .M.P,95939,,,KARUPPAN. V,884,KALAIYARASI .A,8007,BASKARAN. M.R,948,VENNILA.S,666,MURUGAN. C,15114,,,,,,,,,None of the Above,1403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PANDU. M,313,,,,,,,,,,,,,,,,,,,KRISHNAVENI.P,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANBAZHAGAN. S,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3479,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Pattali Makkal Katchi,15114,Desiya Murpokku Dravida Kazhagam,8007,Independent,Independent,12691,6.03%,Third,39.57%,45.60%,3.81%,0.42%,7.18%,0.32%,-8.80%,210403
Tiruvannamalai,RAJAN K,66136,VELU E.V.,116484,,,VENKATACHALAPATHI K,1935,MANIKANDAN S,5075,SIVAPRAKASH K,268,KAMALAKKANNAN J,1686,PANDIAN L,7916,,,,,,,,,None of the Above,1803,,,RAJARAM G,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAYAKANTHAN K,127,,,,,,,,,,,,,,,,,,,VENKATESAN A,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2151,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Pattali Makkal Katchi,7916,Desiya Murpokku Dravida Kazhagam,5075,Bharatiya Janata Party,Naam Tamilar Katchi,50348,24.70%,unknown,32.45%,57.15%,2.49%,0.95%,3.88%,0.83%,14.30%,203825
Kilpennathur,SELVAMANI K,64404,PITCHANDI K,99070,,,SUBBARAYAN M,1209,,,DEVENDIRAN S,1273,RAMESHBABU R,776,EDIROLIMANIAN G,20737,,,,,,,,,None of the Above,1164,,,KANAGAVALLI A,233,,,,,,,,,,,,,,,,,,,,,,,JOTHI K,4613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMPATH P,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3682,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Pattali Makkal Katchi,20737,Communist Party of India,4613,Bahujan Samaj Party,Bharatiya Janata Party,34666,17.57%,unknown,32.64%,50.22%,2.34%,0.61%,10.51%,0.39%,0.43%,197287
Kalasapakkam,PANNEERSELVAM V,84394,,,KUMAR G,57980,,,NEHRU M,9932,SAKTHIVEL S,723,BALAJI .E,776,KALIDASS R,23825,MURUGADASS K,520,,,,,,,None of the Above,1510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRADEESHKUMAR R,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5928,All India Anna Dravida Munnetra Kazhagam,Indian National Congress,Pattali Makkal Katchi,23825,Desiya Murpokku Dravida Kazhagam,9932,Independent,Independent,26414,14.21%,Fourth,45.41%,31.20%,5.34%,0.28%,12.82%,0.42%,-9.18%,185859
Polur,MURUGAN.M,58315,SEKARAN.K.V,66588,,,TAMILARASI.D,1232,,,DEVADASS.M,571,KANDAN.P,624,VELAYUTHAM.A,17184,,,,,,,,,None of the Above,1230,,,RAMACHANDIRAN.M,573,,,,,,,,,,,,,,,SELVAN.P,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUGUNA.A,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VIJAYAN.D,235,VIJAYAKUMAR.B,424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,43538,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Independent,38861,Pattali Makkal Katchi,17184,Communist Party of India  (Marxist),Independent,8273,4.23%,Third,29.80%,34.02%,2.55%,0.63%,8.78%,0.32%,-31.95%,195714
Arani,RAMACHANDRAN  S,94074,BABU  S,86747,,,GOPI  P,1304,BABU MURUGAVEL  R.M,7025,GANESAN  A,413,MOHANRAJ  J,872,RAJASEKAR  S,12877,,,,,,,,,None of the Above,1749,,,SEKAR  K,607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JANAKIRAMAN  M,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VELU  P,110,,,MANI  D,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3493,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Pattali Makkal Katchi,12877,Desiya Murpokku Dravida Kazhagam,7025,Bharatiya Janata Party,Naam Tamilar Katchi,7327,3.50%,Third,44.89%,41.40%,3.35%,0.62%,6.15%,0.42%,-10.21%,209545
Cheyyar,MOHAN K,77766,,,DR. VISHNUPRASAD M K,69239,BHASKARAN.B,2388,SARVANAN P,10855,,,RAJESH S,974,SRINIVASAN G,37491,,,,,,,,,None of the Above,2248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAVI G,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4565,All India Anna Dravida Munnetra Kazhagam,Indian National Congress,Pattali Makkal Katchi,37491,Desiya Murpokku Dravida Kazhagam,10855,Bharatiya Janata Party,Independent,8527,4.14%,Third,37.78%,33.64%,5.27%,1.16%,18.22%,0.47%,-24.43%,205813
Vandavasi,MEGANATHAN  V,62138,AMBETHKUMAR  S,80206,,,,,,,PONNAN  T,862,NEELAKANDAN  C,685,VADIVELRAVANAN,24277,SUDHA  J,1079,,,,,,,None of the Above,2421,,,,,METHARAMESH  M.K,7745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAMAMOORTHI  M,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1883,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Pattali Makkal Katchi,24277,Viduthalai Chiruthaigal Katchi,7745,Indiya Jananayaka Katchi,Bahujan Samaj Party,18068,9.96%,Third,34.24%,44.20%,4.27%,0.59%,13.38%,0.38%,-11.61%,181476
Gingee,GOVINDASAMY A,66383,MASTHAN K S,88440,,,RAJENDIRAN M S,1443,,,,,DHANASEKAR R,581,GANESH KUMAR A,28515,,,,,,,,,None of the Above,2326,,,,,,,,,,,,,MANI A K,10672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEVANATHAN R,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2547,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Pattali Makkal Katchi,28515,Marumalarchi Dravida Munnetra Kazhagam,10672,Bharatiya Janata Party,Independent,22057,10.97%,Third,33.02%,43.99%,5.31%,0.72%,14.18%,0.29%,-12.01%,201024
Mailam,ANNADURAI K,58574,MASILAMANI R,70880,,,,,,,STEPHANRAJ S,583,VIDJEALATCHOUMY S,672,RAJASHEKARAN VR,25711,RAMADEVI R,315,,,,,,,None of the Above,1722,,,,,BALAJI SS,10866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1888,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Pattali Makkal Katchi,25711,Viduthalai Chiruthaigal Katchi,10866,Independent,Naam Tamilar Katchi,12306,7.19%,Third,34.21%,41.40%,6.35%,0.18%,15.02%,0.39%,-17.20%,171211
Tindivanam,RAJENDRAN S P,61778,SEETHAPATHY P,61879,,,POOVAZHAGI B,1509,UDHAYAKUMAR M,14928,GOVINDASAMY A,396,BHUVANESHWARI G,908,KALIDOSS A,29848,,,,,,,,,None of the Above,2112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VISWANATHAN S A,716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1076,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Pattali Makkal Katchi,29848,Desiya Murpokku Dravida Kazhagam,14928,Bharatiya Janata Party,Naam Tamilar Katchi,101,0.06%,Third,35.27%,35.33%,8.52%,0.86%,17.04%,0.52%,-29.34%,175150
Vanur,CHAKRAPANI M,64167,MYDILI R,53944,,,THIRUSELVAKUMAR D,1716,,,KANNABIRAN V,595,LATCHOUMY M,797,SANKAR P,27240,,,,,,,,,None of the Above,1430,,,,,RAVIKUMAR D,23873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,666,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Pattali Makkal Katchi,27240,Viduthalai Chiruthaigal Katchi,23873,Bharatiya Janata Party,Naam Tamilar Katchi,10223,5.86%,Third,36.79%,30.93%,13.69%,0.98%,15.62%,0.46%,-26.43%,174428
